date,hour,traffic
15/03/14,19,62
15/03/14,20,63
15/03/14,21,0
15/03/14,22,0
16/03/14,8,0
16/03/14,9,0
16/03/14,10,30
16/03/14,11,54
16/03/14,12,69
16/03/14,13,73
16/03/14,14,75
16/03/14,15,76
16/03/14,16,88
16/03/14,17,72
16/03/14,18,78
16/03/14,19,30
16/03/14,20,16
16/03/14,21,0
16/03/14,22,0
17/03/14,8,13
17/03/14,9,6
17/03/14,10,10
17/03/14,11,21
17/03/14,12,20
17/03/14,13,27
17/03/14,14,22
17/03/14,15,37
17/03/14,16,36
17/03/14,17,37
17/03/14,18,39
17/03/14,19,26
17/03/14,20,15
17/03/14,21,0
17/03/14,22,0
18/03/14,8,27
18/03/14,9,17
18/03/14,10,19
18/03/14,11,24
18/03/14,12,32
18/03/14,13,28
18/03/14,14,28
18/03/14,15,30
18/03/14,16,24
18/03/14,17,51
18/03/14,18,37
18/03/14,19,29
18/03/14,20,23
18/03/14,21,0
18/03/14,22,0
19/03/14,8,0
19/03/14,9,0
19/03/14,10,25
19/03/14,11,33
19/03/14,12,31
19/03/14,13,57
19/03/14,14,32
19/03/14,15,36
19/03/14,16,49
19/03/14,17,36
19/03/14,18,52
19/03/14,19,50
19/03/14,20,20
19/03/14,21,0
19/03/14,22,0
20/03/14,8,0
20/03/14,9,0
20/03/14,10,26
20/03/14,11,34
20/03/14,12,50
20/03/14,13,29
20/03/14,14,44
20/03/14,15,48
20/03/14,16,51
20/03/14,17,60
20/03/14,18,49
20/03/14,19,33
20/03/14,20,18
20/03/14,21,0
20/03/14,22,0
21/03/14,8,0
21/03/14,9,0
21/03/14,10,27
21/03/14,11,32
21/03/14,12,46
21/03/14,13,49
21/03/14,14,37
21/03/14,15,54
21/03/14,16,64
21/03/14,17,44
21/03/14,18,61
21/03/14,19,53
21/03/14,20,37
21/03/14,21,0
21/03/14,22,0
22/03/14,8,0
22/03/14,9,0
22/03/14,10,34
22/03/14,11,50
22/03/14,12,57
22/03/14,13,63
22/03/14,14,63
22/03/14,15,54
22/03/14,16,68
22/03/14,17,82
22/03/14,18,82
22/03/14,19,57
22/03/14,20,44
22/03/14,21,0
22/03/14,22,0
23/03/14,8,0
23/03/14,9,0
23/03/14,10,31
23/03/14,11,61
23/03/14,12,81
23/03/14,13,84
23/03/14,14,69
23/03/14,15,86
23/03/14,16,102
23/03/14,17,77
23/03/14,18,89
23/03/14,19,37
23/03/14,20,27
23/03/14,21,0
23/03/14,22,0
24/03/14,8,0
24/03/14,9,0
24/03/14,10,15
24/03/14,11,27
24/03/14,12,19
24/03/14,13,24
24/03/14,14,36
24/03/14,15,34
24/03/14,16,34
24/03/14,17,33
24/03/14,18,38
24/03/14,19,40
24/03/14,20,20
24/03/14,21,0
24/03/14,22,0
25/03/14,8,0
25/03/14,9,0
25/03/14,10,25
25/03/14,11,33
25/03/14,12,41
25/03/14,13,43
25/03/14,14,24
25/03/14,15,46
25/03/14,16,46
25/03/14,17,61
25/03/14,18,69
25/03/14,19,39
25/03/14,20,12
25/03/14,21,0
25/03/14,22,0
26/03/14,8,0
26/03/14,9,0
26/03/14,10,27
26/03/14,11,25
26/03/14,12,33
26/03/14,13,39
26/03/14,14,38
26/03/14,15,32
26/03/14,16,49
26/03/14,17,36
26/03/14,18,44
26/03/14,19,39
26/03/14,20,26
26/03/14,21,0
26/03/14,22,0
27/03/14,8,0
27/03/14,9,0
27/03/14,10,36
27/03/14,11,31
27/03/14,12,34
27/03/14,13,30
27/03/14,14,34
27/03/14,15,37
27/03/14,16,52
27/03/14,17,69
27/03/14,18,57
27/03/14,19,40
27/03/14,20,27
27/03/14,21,0
27/03/14,22,0
28/03/14,8,0
28/03/14,9,0
28/03/14,10,31
28/03/14,11,38
28/03/14,12,52
28/03/14,13,38
28/03/14,14,64
28/03/14,15,74
28/03/14,16,51
28/03/14,17,80
28/03/14,18,75
28/03/14,19,97
28/03/14,20,53
28/03/14,21,0
28/03/14,22,0
29/03/14,8,0
29/03/14,9,0
29/03/14,10,33
29/03/14,11,44
29/03/14,12,71
29/03/14,13,91
29/03/14,14,82
29/03/14,15,80
29/03/14,16,84
29/03/14,17,91
29/03/14,18,94
29/03/14,19,69
29/03/14,20,39
29/03/14,21,0
29/03/14,22,0
30/03/14,8,0
30/03/14,9,0
30/03/14,10,17
30/03/14,11,28
30/03/14,12,63
30/03/14,13,72
30/03/14,14,57
30/03/14,15,86
30/03/14,16,71
30/03/14,17,91
30/03/14,18,66
30/03/14,19,50
30/03/14,20,26
30/03/14,21,0
30/03/14,22,0
31/03/14,8,0
31/03/14,9,0
31/03/14,10,24
31/03/14,11,21
31/03/14,12,18
31/03/14,13,42
31/03/14,14,33
31/03/14,15,40
31/03/14,16,50
31/03/14,17,50
31/03/14,18,51
31/03/14,19,56
31/03/14,20,47
31/03/14,21,0
31/03/14,22,0
01/04/14,8,0
01/04/14,9,0
01/04/14,10,17
01/04/14,11,20
01/04/14,12,29
